Power_Jump_Watts,Current_Jump_Amps,Appliance_Name,Event_Type,Source,Rated_Watts_Ref
64.1961,0.247153,Laptop Charger,ON,synthetic_catalog,60
22.8004,0.169097,Laptop Charger,ON,synthetic_catalog,60
28.5821,0.103753,Laptop Charger,ON,synthetic_catalog,60
47.7601,0.1549,Laptop Charger,ON,synthetic_catalog,60
58.2338,0.239373,Laptop Charger,ON,synthetic_catalog,60
39.2554,0.204874,Laptop Charger,ON,synthetic_catalog,60
29.949,0.132214,Laptop Charger,ON,synthetic_catalog,60
49.0206,0.185987,Laptop Charger,ON,synthetic_catalog,60
-20.1786,-0.223931,Laptop Charger,OFF,synthetic_catalog,60
-30.8773,-0.21903,Laptop Charger,OFF,synthetic_catalog,60
-56.8396,-0.221475,Laptop Charger,OFF,synthetic_catalog,60
-48.837,-0.225527,Laptop Charger,OFF,synthetic_catalog,60
-24.3462,-0.118574,Laptop Charger,OFF,synthetic_catalog,60
-46.9479,-0.18665,Laptop Charger,OFF,synthetic_catalog,60
-36.5673,-0.107864,Laptop Charger,OFF,synthetic_catalog,60
-46.8165,-0.187275,Laptop Charger,OFF,synthetic_catalog,60
-53.9131,-0.244665,Laptop Charger,OFF,synthetic_catalog,60
-35.6292,-0.21207,Laptop Charger,OFF,synthetic_catalog,60
-27.5104,-0.215933,Laptop Charger,OFF,synthetic_catalog,60
-28.0541,-0.238944,Laptop Charger,OFF,synthetic_catalog,60
-21.462,-0.142559,Laptop Charger,OFF,synthetic_catalog,60
-54.8782,-0.240127,Laptop Charger,OFF,synthetic_catalog,60
-30.7526,-0.1463,Laptop Charger,OFF,synthetic_catalog,60
-20.5875,-0.124993,Laptop Charger,OFF,synthetic_catalog,60
-48.7746,-0.241427,Laptop Charger,OFF,synthetic_catalog,60
-53.7042,-0.262187,Laptop Charger,OFF,synthetic_catalog,60
11.48,0.061175,Phone Charger,ON,synthetic_catalog,12
7.6924,0.038861,Phone Charger,ON,synthetic_catalog,12
3.1745,0.044889,Phone Charger,ON,synthetic_catalog,12
12.1471,0.047126,Phone Charger,ON,synthetic_catalog,12
10.7473,0.048307,Phone Charger,ON,synthetic_catalog,12
11.3582,0.045916,Phone Charger,ON,synthetic_catalog,12
7.6368,0.030992,Phone Charger,ON,synthetic_catalog,12
14.5883,0.082197,Phone Charger,ON,synthetic_catalog,12
6.6494,0.02278,Phone Charger,ON,synthetic_catalog,12
8.237,0.057428,Phone Charger,ON,synthetic_catalog,12
8.0206,0.051785,Phone Charger,ON,synthetic_catalog,12
12.0548,0.037127,Phone Charger,ON,synthetic_catalog,12
10.3857,0.072133,Phone Charger,ON,synthetic_catalog,12
10.7076,0.037123,Phone Charger,ON,synthetic_catalog,12
5.9204,0.058772,Phone Charger,ON,synthetic_catalog,12
8.0975,0.036528,Phone Charger,ON,synthetic_catalog,12
8.6581,0.053916,Phone Charger,ON,synthetic_catalog,12
12.4008,0.03822,Phone Charger,ON,synthetic_catalog,12
-4.8517,-0.042728,Phone Charger,OFF,synthetic_catalog,12
-8.3913,-0.064719,Phone Charger,OFF,synthetic_catalog,12
-13.7836,-0.067021,Phone Charger,OFF,synthetic_catalog,12
-12.7459,-0.054967,Phone Charger,OFF,synthetic_catalog,12
-10.6615,-0.055297,Phone Charger,OFF,synthetic_catalog,12
-5.4943,-0.044443,Phone Charger,OFF,synthetic_catalog,12
-10.0777,-0.045392,Phone Charger,OFF,synthetic_catalog,12
-8.4077,-0.055425,Phone Charger,OFF,synthetic_catalog,12
-7.0915,-0.043472,Phone Charger,OFF,synthetic_catalog,12
-7.4011,-0.047853,Phone Charger,OFF,synthetic_catalog,12
-7.1801,-0.037966,Phone Charger,OFF,synthetic_catalog,12
-7.5911,-0.049339,Phone Charger,OFF,synthetic_catalog,12
-2.9359,-0.022322,Phone Charger,OFF,synthetic_catalog,12
-5.3181,-0.05646,Phone Charger,OFF,synthetic_catalog,12
-5.8393,-0.021096,Phone Charger,OFF,synthetic_catalog,12
-11.2996,-0.0582,Phone Charger,OFF,synthetic_catalog,12
-2.9545,-0.021568,Phone Charger,OFF,synthetic_catalog,12
-11.5194,-0.036186,Phone Charger,OFF,synthetic_catalog,12
